,,,,
,,,,
,,,,
,,,,
Pos.,Giocatore,,Ruolo,PG
162,Ondrej Duda,,Cen,15
163,Denzel Dumfries,,"Dif,Att",19
164,Alfred Duncan,,Cen,11
165,Paulo Dybala,,"Att,Cen",20
166,Enzo Ebosse,,Dif,2
167,Éderson,,Cen,23
168,Kingsley Ehizibue,,Dif,20
169,Jeff Ekhator,,"Att,Cen",15
170,Jurgen Ekkelenkamp,,Cen,19
171,Emmanuel Ekong,,"Cen,Att",15
172,Caleb Ekuban,,Att,8
173,Mikael Ellertsson,,"Dif,Cen",22
174,Emerson,,Dif,17
175,Yannik Engelhardt,,"Cen,Dif",16
176,Martin Erlic,,Dif,5
177,Sebastiano Esposito,,"Att,Cen",19
178,Nahuel Estévez,,Cen,7
179,Giovanni Fabbian,,Cen,17
180,Alieu Fadera,,"Att,Dif",21
181,Nicolò Fagioli,,Cen,17
182,Wladimiro Falcone,,Por,23
183,Davide Faraoni,,"Dif,Cen",5
184,Jacopo Fazzini,,"Cen,Att",12
185,Mattia Felici,,"Cen,Dif",13
186,Lewis Ferguson,,Cen,7
187,Youssouf Fofana,,Cen,20
188,Michael Folorunsho,,"Cen,Att",4
189,Michael Folorunsho,,"Att,Cen",6
190,Omari Forson,,"Cen,Att",5
191,Davide Frattesi,,Cen,18
192,Morten Frendrup,,Cen,22
193,Martin Frese,,Dif,5
194,Remo Freuler,,Cen,22
195,Matteo Gabbia,,Dif,14
196,Alessandro Gabrielloni,,"Att,Cen",11
197,Gianluca Gaetano,,"Cen,Att",17
198,Roberto Gagliardini,,"Cen,Dif",4
199,Antonino Gallo,,Dif,16
200,Federico Gatti,,Dif,21
201,David de Gea,,Por,19
202,Valentin Gendrey,,Dif,2
203,Daniele Ghilardi,,Dif,13
204,Lautaro Gianetti,,Dif,12
205,Samuel Gigot,,Dif,9
206,Mario Gila,,Dif,19
207,Billy Gilmour,,Cen,13
208,Gvidas Gineitis,,Cen,16
209,Ben Godfrey,,Dif,1
210,Saba Goglichidze,,Dif,20
211,Edoardo Goldaniga,,Dif,18
212,Pierluigi Gollini,,Por,7
213,Nicolás González,,"Att,Cen",12
214,Robin Gosens,,Dif,20
215,Alberto Grassi,,Cen,14
216,Mattéo Guendouzi,,Cen,23
217,Frederic Guilbert,,Dif,18
218,Albert Guðmundsson,,"Cen,Att",12
219,Emmanuel Gyasi,,"Dif,Att",23
220,Christian Gytkjær,,Att,17
221,Nicolas Haas,,Cen,10
222,Saad El Haddad,,Cen,3
223,Antoine Hainaut,,"Dif,Cen",18
224,Mohamed Haj,,Cen,13
225,Ridgeciano Haps,,Dif,15
226,Abdou Harroui,,"Cen,Att",10
227,Liam Henderson,,Cen,22
228,Mario Hermoso,,Dif,8
229,Theo Hernández,,Dif,19
230,Hernani,,Cen,15
231,Isak Hien,,Dif,19
232,Emil Holm,,Dif,13
233,Mats Hummels,,Dif,9
234,Elseid Hysaj,,Dif,6
235,Jay Idzes,,Dif,21
236,Jonathan Ikone,,Att,1
237,Jonathan Ikone,,"Att,Cen",14
238,Ivan Ilić,,Cen,12
239,Samuel Iling-Junior,,"Att,Cen",7
240,Alessio Iovine,,"Dif,Att",9
241,Gustav Isaksen,,Att,23
242,Ardian Ismajli,,Dif,23
243,Armando Izzo,,Dif,21
244,Fellipe Jack,,Dif,4
245,Ali Jasim,,"Att,Dif",2
246,Gaby Jean,,Dif,12
247,Juan Jesus,,Dif,8
248,Alejandro Jiménez,,"Att,Dif",7
249,Þórir Jóhann Helgason,,Cen,7
250,Jesse Joronen,,Por,8
251,Luka Jović,,Att,5
252,Mohamed Kaba,,Cen,9
253,Christian Kabasele,,Dif,13
254,Pierre Kalulu,,Dif,19
255,Hassane Kamara,,Dif,17
256,Yann Karamoh,,"Cen,Att",18
257,Jesper Karlsson,,Att,7
258,Jesper Karlsson,,"Att,Cen",5
259,Jesper Karlström,,Cen,22
260,Lior Kasa,,"Cen,Att",5
261,Grigoris Kastanos,,"Cen,Att",16
262,Michael Kayode,,"Dif,Att",5
263,Moise Kean,,Att,21
264,Mandela Keita,,Cen,15
265,Marc-Oliver Kempf,,Dif,19
266,Kialonda,,Dif,15
267,Magnus Kofod Andersen,,Cen,14
268,Sead Kolašinac,,Dif,16
269,Randal Kolo Muani,,Att,2
270,Ismael Konate,,"Att,Dif",3
271,Manu Koné,,Cen,21
272,Teun Koopmeiners,,"Cen,Att",19
273,Odilon Kossounou,,Dif,12
274,Christian Kouamé,,"Att,Cen",18
275,Mateusz Kowalski,,Cen,1
276,Thomas Kristensen,,Dif,12
277,Nikola Krstović,,Att,23
278,Khvicha Kvaratskhelia,,"Att,Cen",17
279,Giorgos Kyriakopoulos,,Dif,20
280,Mathis Lambourde,,"Att,Cen",4
281,Gianluca Lapadula,,"Att,Cen",12
282,Valentino Lazaro,,"Dif,Cen",22
283,Darko Lazović,,"Dif,Att",22
284,Manuel Lazzari,,Dif,16
285,Enzo Le Fée,,Cen,6
286,Nicola Leali,,Por,16
287,Rafael Leão,,Att,20
288,Stefan Lekovic,,Dif,2
289,Nunzio Lella,,Cen,1
290,Giovanni Leoni,,Dif,5
291,Ben Lhassine Kone,,Cen,4
292,Mattia Liberali,,Cen,1
293,Karol Linetty,,Cen,19
294,Dailon Livramento,,"Att,Cen",17
295,Stanislav Lobotka,,Cen,19
296,Manuel Locatelli,,Cen,21
297,Ruben Loftus-Cheek,,Cen,13
298,Ademola Lookman,,"Att,Cen",19
299,Sandi Lovrić,,Cen,22
300,Lorenzo Lucca,,Att,22
301,Jhon Lucumí,,Dif,18
302,José Luis Palomino,,Dif,9
303,Douglas Luiz,,Cen,13
304,Romelu Lukaku,,Att,21
305,Sebastiano Luperto,,Dif,23
306,Zito Luvumbo,,"Att,Cen",16
307,Charalambos Lykogiannis,,Dif,11
308,Mathias Løvik,,Att,1
309,Giangiacomo Magnani,,Dif,17
310,Mike Maignan,,Por,22
311,Antoine Makoumbou,,Cen,19
312,Daniel Maldini,,"Cen,Att",20
313,Youssef Maleh,,Cen,19
314,Ruslan Malinovskyi,,"Cen,Att",5
315,Dennis Man,,"Att,Cen",21
316,Gianluca Mancini,,Dif,23
317,Rolando Mandragora,,Cen,14
318,Alberto Manzoni,,Cen,1
319,Alessandro Marcandalli,,Dif,2
320,Filip Marchwiński,,Cen,1
321,Pablo Marí,,Dif,19
322,Luca Marianucci,,Dif,7
323,Mirko Marić,,"Att,Cen",8
324,Răzvan Marin,,Cen,21
325,Guillermo Maripán,,Dif,13
326,Aarón Martín,,Dif,22
327,Lautaro Martínez,,Att,20
328,Lucas Martínez Quarta,,Dif,8
329,Kevin Martins,,"Cen,Dif",6
330,Adam Marušić,,Dif,21
331,Adam Masina,,Dif,19
332,Patrizio Masini,,Cen,11
333,Alan Matturro,,Dif,8
334,Luca Mazzitelli,,Cen,11
335,Pasquale Mazzocchi,,"Dif,Att",14
336,Samuel Mbangula,,Att,16
337,Weston McKennie,,"Cen,Dif",17
